model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
DS-R1,32,deepseek-default,1.257790,82489,83.540334,1.257790,82489,83.540334,3.242600,100.000000
DS-R1,32,beta1=0.999_beta2=0.9999_lam=-1.0,1.257790,82489,83.540334,1.261358,82525,83.757970,3.205236,99.740160
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0,1.257790,82489,83.540334,1.257790,82489,83.540334,3.229399,100.000000
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.5,1.257790,82489,83.540334,1.255887,82387,83.416199,3.232026,100.148815
DS-R1,32,beta1=0.999_beta2=0.9999_lam=1.0,1.257790,82489,83.540334,1.256478,82407,83.453632,3.246989,100.103892
DS-R1,32,beta1=0.999_beta2=0.9999_lam=2.0,1.257790,82489,83.540334,1.255010,82379,83.362818,3.256688,100.212944
DS-R1,32,beta1=0.999_beta2=0.9999_lam=4.0,1.257790,82489,83.540334,1.250803,82213,83.094126,3.255300,100.536991
DS-R1,32,beta1=0.999_beta2=0.9999_lam=8.0,1.257790,82489,83.540334,1.244250,82005,82.680602,3.234526,101.039823
DS-R1,32,beta1=0.999_beta2=0.9999_lam=16.0,1.257790,82489,83.540334,1.235835,81826,82.158189,3.240844,101.682297
DS-R1,32,beta1=0.999_beta2=0.9999_lam=32.0,1.257790,82489,83.540334,1.230529,82791,81.934267,3.245584,101.960189
DS-R1,64,deepseek-default,1.425022,91892,94.494542,1.425022,91892,94.494542,5.768335,100.000000
DS-R1,64,beta1=0.999_beta2=0.9999_lam=-1.0,1.425022,91892,94.494542,1.433415,91899,94.998763,5.758783,99.469234
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0,1.425022,91892,94.494542,1.425022,91892,94.494542,5.687805,100.000000
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.5,1.425022,91892,94.494542,1.423780,91849,94.415810,5.745074,100.083389
DS-R1,64,beta1=0.999_beta2=0.9999_lam=1.0,1.425022,91892,94.494542,1.423939,91860,94.426439,5.747225,100.072123
DS-R1,64,beta1=0.999_beta2=0.9999_lam=2.0,1.425022,91892,94.494542,1.417816,91753,94.048555,5.767029,100.474209
DS-R1,64,beta1=0.999_beta2=0.9999_lam=4.0,1.425022,91892,94.494542,1.414329,91706,93.834739,5.892503,100.703155
DS-R1,64,beta1=0.999_beta2=0.9999_lam=8.0,1.425022,91892,94.494542,1.402816,91456,93.119492,5.745570,101.476651
DS-R1,64,beta1=0.999_beta2=0.9999_lam=16.0,1.425022,91892,94.494542,1.386949,91280,92.150225,5.745031,102.544016
DS-R1,64,beta1=0.999_beta2=0.9999_lam=32.0,1.425022,91892,94.494542,1.379729,92123,91.799540,5.691918,102.935747
DS-R1,128,deepseek-default,1.691569,110046,112.264005,1.691569,110046,112.264005,10.660721,100.000000
DS-R1,128,beta1=0.999_beta2=0.9999_lam=-1.0,1.691569,110046,112.264005,1.696581,110124,112.572371,10.843338,99.726073
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0,1.691569,110046,112.264005,1.691569,110046,112.264005,11.051893,100.000000
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.5,1.691569,110046,112.264005,1.688812,110107,112.104587,10.827657,100.142205
DS-R1,128,beta1=0.999_beta2=0.9999_lam=1.0,1.691569,110046,112.264005,1.684286,110003,111.822835,10.729826,100.394526
DS-R1,128,beta1=0.999_beta2=0.9999_lam=2.0,1.691569,110046,112.264005,1.681784,110030,111.675371,10.720224,100.527094
DS-R1,128,beta1=0.999_beta2=0.9999_lam=4.0,1.691569,110046,112.264005,1.665292,109916,110.674681,10.715836,101.436032
DS-R1,128,beta1=0.999_beta2=0.9999_lam=8.0,1.691569,110046,112.264005,1.649714,109600,109.709092,10.671148,102.328807
DS-R1,128,beta1=0.999_beta2=0.9999_lam=16.0,1.691569,110046,112.264005,1.626349,109438,108.291325,10.688371,103.668512
DS-R1,128,beta1=0.999_beta2=0.9999_lam=32.0,1.691569,110046,112.264005,1.613790,110468,107.638585,10.880066,104.297177
DS-R1,256,deepseek-default,2.119932,146768,141.559682,2.119932,146768,141.559682,21.155391,100.000000
DS-R1,256,beta1=0.999_beta2=0.9999_lam=-1.0,2.119932,146768,141.559682,2.128254,146916,142.073498,21.077090,99.638344
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0,2.119932,146768,141.559682,2.119932,146768,141.559682,20.982252,100.000000
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.5,2.119932,146768,141.559682,2.114118,146781,141.212118,21.552759,100.246129
