model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
DS-R1,32,deepseek-default,1.257790,82489,83.540334,1.257790,82489,83.540334,3.195271,100.000000
DS-R1,32,beta1=0.99_beta2=0.99_lam=-1.0,1.257790,82489,83.540334,1.326441,82871,87.696834,3.087191,95.260377
DS-R1,32,beta1=0.99_beta2=0.99_lam=-0.5,1.257790,82489,83.540334,1.329224,82916,87.868182,3.081501,95.074613
DS-R1,32,beta1=0.99_beta2=0.99_lam=0.0,1.257790,82489,83.540334,1.327500,82900,87.763157,3.057703,95.188388
DS-R1,32,beta1=0.99_beta2=0.99_lam=0.5,1.257790,82489,83.540334,1.327649,82896,87.771711,3.085909,95.179111
DS-R1,32,beta1=0.99_beta2=0.99_lam=1.0,1.257790,82489,83.540334,1.327765,82908,87.779891,3.135663,95.170241
DS-R1,32,beta1=0.99_beta2=0.95_lam=-1.0,1.257790,82489,83.540334,1.325927,82932,87.671962,3.125730,95.287401
DS-R1,32,beta1=0.99_beta2=0.95_lam=-0.5,1.257790,82489,83.540334,1.326306,82912,87.692719,3.115487,95.264846
DS-R1,32,beta1=0.99_beta2=0.95_lam=0.0,1.257790,82489,83.540334,1.327500,82900,87.763157,3.094860,95.188388
DS-R1,32,beta1=0.99_beta2=0.95_lam=0.5,1.257790,82489,83.540334,1.327864,82946,87.789552,3.095985,95.159768
DS-R1,32,beta1=0.99_beta2=0.95_lam=1.0,1.257790,82489,83.540334,1.326166,82905,87.683616,3.090190,95.274737
DS-R1,32,beta1=0.99_beta2=0.9_lam=-1.0,1.257790,82489,83.540334,1.328592,82933,87.831924,3.127395,95.113861
DS-R1,32,beta1=0.99_beta2=0.9_lam=-0.5,1.257790,82489,83.540334,1.326651,82923,87.714499,3.108727,95.241192
DS-R1,32,beta1=0.99_beta2=0.9_lam=0.0,1.257790,82489,83.540334,1.327500,82900,87.763157,3.093363,95.188388
DS-R1,32,beta1=0.99_beta2=0.9_lam=0.5,1.257790,82489,83.540334,1.323412,82930,87.520812,3.192213,95.451964
DS-R1,32,beta1=0.99_beta2=0.9_lam=1.0,1.257790,82489,83.540334,1.329435,82943,87.883463,3.110978,95.058082
DS-R1,32,beta1=0.95_beta2=0.99_lam=-1.0,1.257790,82489,83.540334,1.326521,82948,87.709129,3.085617,95.247022
DS-R1,32,beta1=0.95_beta2=0.99_lam=-0.5,1.257790,82489,83.540334,1.323855,82930,87.547440,3.080591,95.422932
DS-R1,32,beta1=0.95_beta2=0.99_lam=0.0,1.257790,82489,83.540334,1.325331,82968,87.639703,3.151019,95.322475
DS-R1,32,beta1=0.95_beta2=0.99_lam=0.5,1.257790,82489,83.540334,1.325155,82915,87.623945,3.227524,95.339618
DS-R1,32,beta1=0.95_beta2=0.99_lam=1.0,1.257790,82489,83.540334,1.322215,82941,87.450120,3.110132,95.529125
DS-R1,32,beta1=0.95_beta2=0.95_lam=-1.0,1.257790,82489,83.540334,1.327733,82945,87.781538,3.096971,95.168455
DS-R1,32,beta1=0.95_beta2=0.95_lam=-0.5,1.257790,82489,83.540334,1.322038,82922,87.437585,3.102480,95.542819
DS-R1,32,beta1=0.95_beta2=0.95_lam=0.0,1.257790,82489,83.540334,1.325331,82968,87.639703,3.122465,95.322475
DS-R1,32,beta1=0.95_beta2=0.95_lam=0.5,1.257790,82489,83.540334,1.324381,82918,87.577803,3.111843,95.389849
DS-R1,32,beta1=0.95_beta2=0.95_lam=1.0,1.257790,82489,83.540334,1.325844,82967,87.670384,3.087044,95.289116
DS-R1,32,beta1=0.95_beta2=0.9_lam=-1.0,1.257790,82489,83.540334,1.330048,82948,87.920761,3.110489,95.017756
