model,ep,strategy,ds_par,ds_transmit,ds_time,sub_par,sub_transmit,sub_time,rebalance_wall,score
DS-R1,32,deepseek-default,1.257790,82489,83.540334,1.257790,82489,83.540334,0.256103,100.000000
DS-R1,64,deepseek-default,1.425022,91892,94.494542,1.425022,91892,94.494542,0.306016,100.000000
DS-R1,128,deepseek-default,1.691569,110046,112.264005,1.691569,110046,112.264005,0.522267,100.000000
DS-R1,256,deepseek-default,2.119932,146768,141.559682,2.119932,146768,141.559682,1.073529,100.000000
Qwen3,32,deepseek-default,1.288529,57792,82.967671,1.288529,57792,82.967671,0.163075,100.000000
Qwen3,64,deepseek-default,1.531796,69973,98.755809,1.531796,69973,98.755809,0.228495,100.000000
Qwen3,128,deepseek-default,1.852714,92894,120.254113,1.852714,92894,120.254113,0.434899,100.000000
DS-R1,32,inc-lam16-mm20,1.257790,82489,83.540334,1.246465,18731,76.621072,3.170907,109.030494
DS-R1,64,inc-lam16-mm20,1.425022,91892,94.494542,1.412385,20962,86.794582,2.246795,108.871475
DS-R1,128,inc-lam16-mm20,1.691569,110046,112.264005,1.678912,25002,103.181576,1.733678,108.802376
DS-R1,256,inc-lam16-mm20,2.119932,146768,141.559682,2.106338,32812,129.591467,1.382901,109.235342
Qwen3,32,inc-lam16-mm20,1.288529,57792,82.967671,1.281667,14956,78.363697,0.776243,105.875136
Qwen3,64,inc-lam16-mm20,1.531796,69973,98.755809,1.518374,18458,92.908873,0.735233,106.293195
Qwen3,128,inc-lam16-mm20,1.852714,92894,120.254113,1.833762,24483,112.421811,0.575821,106.966888
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.257790,82489,83.540334,1.584439,353,95.100902,1.302464,87.843892
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.425022,91892,94.494542,2.032615,385,121.994561,0.688346,77.457996
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.691569,110046,112.264005,2.885194,463,173.156949,0.478440,64.833670
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,2.119932,146768,141.559682,4.571624,589,274.355058,0.492185,51.597256
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.288529,57792,82.967671,1.953012,207,117.200977,0.882326,70.790938
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.531796,69973,98.755809,2.753330,249,165.224159,0.482684,59.770805
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=1_threshold=0.0,1.852714,92894,120.254113,4.146561,308,248.823773,0.371911,48.329029
DS-R1,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.257790,82489,83.540334,1.554148,680,93.315426,1.315634,89.524677
DS-R1,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.425022,91892,94.494542,1.972529,786,118.428668,0.619557,79.790260
DS-R1,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.691569,110046,112.264005,2.782143,925,167.019080,0.576736,67.216276
DS-R1,256,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,2.119932,146768,141.559682,4.361329,1182,261.795401,0.505152,54.072639
Qwen3,32,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.288529,57792,82.967671,1.927565,407,115.693708,1.024438,71.713209
Qwen3,64,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.531796,69973,98.755809,2.705069,500,162.353064,0.439381,60.827808
Qwen3,128,beta1=0.999_beta2=0.9999_lam=0.0_std_source=ema_max_moves_per_layer=20_min_par_gain_B=0.0_min_par_gain_A=0.0_score_aware=True_assumed_cycle_iters=1024_assumed_total_iters=10000_use_dseplb_init=True_max_cold_tries=32_unique_per_device=True_cov_quantile=1.0_cov_source=window_pin_hottest=False_k=2_threshold=0.0,1.852714,92894,120.254113,4.065134,624,243.969127,0.374167,49.290709
